handle,variant_1,variant_2,variant_3, price 
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle," 2,455.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle," 2,630.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle," 2,615.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle," 2,965.00 "
queen-over-queen-bunk-bed,Standard (1 Side Rail),Tray,No Trundle," 2,410.00 "
queen-over-queen-bunk-bed,2 Side Rails,Tray,No Trundle," 2,585.00 "
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle," 2,570.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle," 2,745.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle," 2,730.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle," 3,080.00 "
queen-over-queen-bunk-bed,Standard (1 Side Rail),Tray,Trundle," 2,975.00 "
queen-over-queen-bunk-bed,2 Side Rails,Tray,Trundle," 3,150.00 "
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle," 3,135.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle," 3,310.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle," 3,295.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle," 3,645.00 "
queen-over-queen-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle," 2,860.00 "
queen-over-queen-bunk-bed,2 Side Rails,No Accessories,Trundle," 3,035.00 "
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle," 3,020.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle," 3,195.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle," 3,180.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle," 3,530.00 "
queen-over-queen-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle," 2,955.00 "
queen-over-queen-bunk-bed,2 Side Rails,Bookshelf,No Trundle," 3,130.00 "
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle," 3,115.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle," 3,290.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle," 3,275.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle," 3,625.00 "
queen-over-queen-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle," 3,520.00 "
queen-over-queen-bunk-bed,2 Side Rails,Bookshelf,Trundle," 3,695.00 "
queen-over-queen-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle," 3,680.00 "
queen-over-queen-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle," 3,855.00 "
queen-over-queen-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle," 3,840.00 "
queen-over-queen-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle," 4,190.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle," 2,295.00 "
full-over-full-bunk-bed,2 Side Rails,No Accessories,No Trundle," 2,470.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle," 2,455.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle," 2,630.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle," 2,615.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle," 2,965.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),Tray,No Trundle," 2,410.00 "
full-over-full-bunk-bed,2 Side Rails,Tray,No Trundle," 2,585.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle," 2,570.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle," 2,745.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle," 2,730.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle," 3,080.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),Tray,Trundle," 2,975.00 "
full-over-full-bunk-bed,2 Side Rails,Tray,Trundle," 3,150.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle," 3,135.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle," 3,310.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Tray,Trundle," 3,295.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Tray,Trundle," 3,645.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),No Accessories,Trundle," 2,860.00 "
full-over-full-bunk-bed,2 Side Rails,No Accessories,Trundle," 3,035.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,Trundle," 3,020.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,Trundle," 3,195.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,Trundle," 3,180.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,Trundle," 3,530.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),Bookshelf,No Trundle," 2,955.00 "
full-over-full-bunk-bed,2 Side Rails,Bookshelf,No Trundle," 3,130.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,No Trundle," 3,115.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,No Trundle," 3,290.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,No Trundle," 3,275.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,No Trundle," 3,625.00 "
full-over-full-bunk-bed,Standard (1 Side Rail),Bookshelf,Trundle," 3,520.00 "
full-over-full-bunk-bed,2 Side Rails,Bookshelf,Trundle," 3,695.00 "
full-over-full-bunk-bed,1 Side Rail and 1 End Rail,Bookshelf,Trundle," 3,680.00 "
full-over-full-bunk-bed,2 Side Rails and 1 End Rail,Bookshelf,Trundle," 3,855.00 "
full-over-full-bunk-bed,1 Side Rail and 2 End Rails,Bookshelf,Trundle," 3,840.00 "
full-over-full-bunk-bed,2 Side Rails and 2 End Rails,Bookshelf,Trundle," 4,190.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),No Accessories,No Trundle," 2,295.00 "
twin-over-twin-bunk-bed,2 Side Rails,No Accessories,No Trundle," 2,470.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,No Accessories,No Trundle," 2,455.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,No Accessories,No Trundle," 2,630.00 "
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,No Accessories,No Trundle," 2,615.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,No Accessories,No Trundle," 2,965.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),Tray,No Trundle," 2,410.00 "
twin-over-twin-bunk-bed,2 Side Rails,Tray,No Trundle," 2,585.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Tray,No Trundle," 2,570.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Tray,No Trundle," 2,745.00 "
twin-over-twin-bunk-bed,1 Side Rail and 2 End Rails,Tray,No Trundle," 2,730.00 "
twin-over-twin-bunk-bed,2 Side Rails and 2 End Rails,Tray,No Trundle," 3,080.00 "
twin-over-twin-bunk-bed,Standard (1 Side Rail),Tray,Trundle," 2,975.00 "
twin-over-twin-bunk-bed,2 Side Rails,Tray,Trundle," 3,150.00 "
twin-over-twin-bunk-bed,1 Side Rail and 1 End Rail,Tray,Trundle," 3,135.00 "
twin-over-twin-bunk-bed,2 Side Rails and 1 End Rail,Tray,Trundle," 3,310.00 "
